VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME
2109,14080,48,4814080,Alabama Ketona Glade and Woodland
2110,14160,48,4814160,Western Highland Rim Prairie and Barrens
2111,14170,48,4814170,Eastern Highland Rim Prairie and Barrens
2112,14570,48,4814570,South-Central Interior/Upper Coastal Plain Wet Flatwoods
2113,14710,48,4814710,Central Interior and Appalachian Floodplain Systems
2114,14720,48,4814720,Central Interior and Appalachian Riparian Systems
2115,14740,48,4814740,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems
2116,14790,48,4814790,Central Interior and Appalachian Swamp Systems
2117,13100,42,4213100,North-Central Interior Dry-Mesic Oak Forest and Woodland
2118,13110,42,4213110,North-Central Interior Dry Oak Forest and Woodland
2119,13140,42,4213140,North-Central Interior Maple-Basswood Forest
2120,13850,42,4213850,Western Great Plains Wooded Draw and Ravine
2121,13940,42,4213940,North-Central Interior Oak Savanna
2122,13950,42,4213950,North-Central Oak Barrens
2123,14120,42,4214120,North-Central Interior Sand and Gravel Tallgrass Prairie
2124,14200,42,4214200,Northern Tallgrass Prairie
2125,14210,42,4214210,Central Tallgrass Prairie
2126,14690,42,4214690,Eastern Great Plains Floodplain Systems
2127,14710,42,4214710,Central Interior and Appalachian Floodplain Systems
2128,14790,42,4214790,Central Interior and Appalachian Swamp Systems
2129,14880,42,4214880,Eastern Great Plains Wet Meadow-Prairie-Marsh
2130,14930,42,4214930,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems
2131,15170,42,4215170,Paleozoic Plateau Bluff and Talus
2132,13040,44,4413040,Ozark-Ouachita Dry-Mesic Oak Forest
2133,13080,44,4413080,Crosstimbers Oak Forest and Woodland
2134,13100,44,4413100,North-Central Interior Dry-Mesic Oak Forest and Woodland
2135,13110,44,4413110,North-Central Interior Dry Oak Forest and Woodland
2136,13120,44,4413120,Ouachita Montane Oak Forest
2137,13140,44,4413140,North-Central Interior Maple-Basswood Forest
2138,13230,44,4413230,West Gulf Coastal Plain Mesic Hardwood Forest
2139,13340,44,4413340,Ozark-Ouachita Mesic Hardwood Forest
2140,13640,44,4413640,Ozark-Ouachita Dry Oak Woodland
2141,13670,44,4413670,Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland
2142,13710,44,4413710,West Gulf Coastal Plain Pine-Hardwood Forest
2143,13780,44,4413780,West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland
2144,13940,44,4413940,North-Central Interior Oak Savanna
2145,14010,44,4414010,Central Interior Highlands Calcareous Glade and Barrens
2146,14151,44,4414151,Arkansas Valley Prairie and Woodland - Prairie
2147,14152,44,4414152,Arkansas Valley Prairie and Woodland - Woodland
2148,14210,44,4414210,Central Tallgrass Prairie
2149,14230,44,4414230,Southeastern Great Plains Tallgrass Prairie
2150,14280,44,4414280,West Gulf Coastal Plain Northern Calcareous Prairie
2151,14580,44,4414580,West Gulf Coastal Plain Pine-Hardwood Flatwoods
2152,14711,44,4414711,Central Interior and Appalachian Floodplain Systems
2153,14712,44,4414712,South-Central Interior Large Floodplain
2154,14720,44,4414720,Central Interior and Appalachian Riparian Systems
2155,14730,44,4414730,Gulf and Atlantic Coastal Plain Floodplain Systems
2156,14740,44,4414740,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems
2157,14800,44,4414800,Gulf and Atlantic Coastal Plain Swamp Systems
2158,14930,44,4414930,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems
2159,15060,44,4415060,West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods
2160,15070,44,4415070,Ozark-Ouachita Shortleaf Pine-Bluestem Woodland
2161,16380,67,6716380,Alaska Arctic Mesic Alder Shrubland
2162,16390,67,6716390,Alaska Arctic Mesic-Wet Willow Shrubland
2163,16821,67,6716821,Alaska Arctic Scrub Birch-Ericaceous Shrubland - Infrequent Fire
2164,16830,67,6716830,Alaska Arctic Mesic Sedge-Willow Tundra
2165,16840,67,6716840,Alaska Arctic Mesic Sedge-Dryas Tundra
2166,16850,67,6716850,Alaska Arctic Acidic Sparse Tundra
2167,16860,67,6716860,Alaska Arctic Non-Acidic Sparse Tundra
2168,16870,67,6716870,Alaska Arctic Lichen Tundra
2169,16880,67,6716880,Alaska Arctic Acidic Dryas Dwarf-Shrubland
2170,16890,67,6716890,Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland
2171,16902,67,6716902,Alaska Arctic Dwarf-Shrubland - Infrequent Fire
2172,16942,67,6716942,Alaska Arctic Tussock Tundra - Infrequent Fire
2173,16970,67,6716970,Alaska Arctic Pendantgrass Freshwater Marsh
2174,16980,67,6716980,Alaska Arctic Wet Sedge Meadow
2175,16990,67,6716990,Alaska Arctic Mesic Herbaceous Meadow
2176,17010,67,6717010,Alaska Arctic Coastal Sedge-Dwarf-Shrubland
2177,17020,67,6717020,Alaska Arctic Wet Sedge-Sphagnum Peatland
2178,17030,67,6717030,Alaska Arctic Dwarf-Shrub-Sphagnum Peatland
2179,17050,67,6717050,Alaska Arctic Sedge Freshwater Marsh
2180,17060,67,6717060,Alaska Arctic Polygonal Ground Wet Sedge Tundra
2181,17080,67,6717080,Alaska Arctic Polygonal Ground Shrub-Tussock Tundra
2182,17090,67,6717090,Alaska Arctic Marine Beach and Beach Meadow
2183,17110,67,6717110,Alaska Arctic Tidal Marsh
2184,17120,67,6717120,Alaska Arctic Coastal Brackish Meadow
2185,17150,67,6717150,Alaska Arctic Floodplain
2186,16011,68,6816011,Western North American Boreal Treeline White Spruce Woodland - Boreal
2187,16030,68,6816030,Western North American Boreal White Spruce-Hardwood Forest
2188,16041,68,6816041,Western North American Boreal Mesic Black Spruce Forest - Boreal
2189,16050,68,6816050,Western North American Boreal Mesic Birch-Aspen Forest
2190,16070,68,6816070,Western North American Boreal Subalpine Balsam Poplar-Aspen Woodland
2191,16141,68,6816141,Western North American Boreal Montane Floodplain Forest and Shrubland - Boreal
2192,16150,68,6816150,Western North American Boreal Lowland Large River Floodplain Forest and Shrubland
2193,16170,68,6816170,Western North American Boreal Shrub and Herbaceous Floodplain Wetland
2194,16211,68,6816211,Western North American Boreal Black Spruce Dwarf-tree Peatland - Boreal Complex
2195,16220,68,6816220,Western North American Boreal Black Spruce Wet-Mesic Slope Woodland
2196,16300,68,6816300,Western North American Boreal Wet Black Spruce-Tussock Woodland
2197,16380,68,6816380,Alaska Arctic Mesic Alder Shrubland
2198,16390,68,6816390,Alaska Arctic Mesic-Wet Willow Shrubland
2199,16821,68,6816821,Alaska Arctic Scrub Birch-Ericaceous Shrubland - Infrequent Fire
2200,16822,68,6816822,Alaska Arctic Scrub Birch-Ericaceous Shrubland - Frequent Fire
2201,16830,68,6816830,Alaska Arctic Mesic Sedge-Willow Tundra
2202,16840,68,6816840,Alaska Arctic Mesic Sedge-Dryas Tundra
2203,16850,68,6816850,Alaska Arctic Acidic Sparse Tundra
2204,16860,68,6816860,Alaska Arctic Non-Acidic Sparse Tundra
2205,16870,68,6816870,Alaska Arctic Lichen Tundra
2206,16880,68,6816880,Alaska Arctic Acidic Dryas Dwarf-Shrubland
